# Source File Name = manual_corpus.txt
#
# Memory Chunck Size = 4096
#
# Length in byte,Number of length,Total % of Length
#
879,0,99.9852
880,0,99.9852
881,0,99.9852
882,1,99.9856
883,0,99.9856
884,0,99.9856
885,0,99.9856
886,1,99.986
887,0,99.986
888,0,99.986
889,0,99.986
890,0,99.986
891,1,99.9863
892,0,99.9863
893,0,99.9863
894,0,99.9863
895,0,99.9863
896,0,99.9863
897,0,99.9863
898,0,99.9863
899,0,99.9863
900,0,99.9863
901,0,99.9863
902,0,99.9863
903,0,99.9863
904,0,99.9863
905,0,99.9863
906,0,99.9863
907,0,99.9863
908,0,99.9863
909,0,99.9863
910,1,99.9867
911,0,99.9867
912,0,99.9867
913,0,99.9867
914,0,99.9867
915,0,99.9867
916,0,99.9867
917,0,99.9867
918,0,99.9867
919,0,99.9867
920,0,99.9867
921,0,99.9867
922,1,99.9871
923,0,99.9871
924,1,99.9875
925,0,99.9875
926,0,99.9875
927,0,99.9875
928,0,99.9875
929,0,99.9875
930,0,99.9875
931,0,99.9875
932,0,99.9875
933,0,99.9875
934,0,99.9875
935,0,99.9875
936,0,99.9875
937,0,99.9875
938,1,99.9879
939,0,99.9879
940,0,99.9879
941,0,99.9879
942,0,99.9879
943,0,99.9879
944,0,99.9879
945,0,99.9879
946,0,99.9879
947,0,99.9879
948,0,99.9879
949,0,99.9879
950,0,99.9879
951,0,99.9879
952,0,99.9879
953,0,99.9879
954,0,99.9879
955,0,99.9879
956,0,99.9879
957,0,99.9879
958,0,99.9879
959,0,99.9879
960,0,99.9879
961,0,99.9879
962,0,99.9879
963,0,99.9879
964,0,99.9879
965,0,99.9879
966,0,99.9879
967,0,99.9879
968,1,99.9883
969,0,99.9883
970,0,99.9883
971,0,99.9883
972,0,99.9883
973,0,99.9883
974,0,99.9883
975,0,99.9883
976,0,99.9883
977,0,99.9883
978,0,99.9883
979,0,99.9883
980,0,99.9883
981,0,99.9883
982,0,99.9883
983,1,99.9887
984,1,99.9891
985,0,99.9891
986,0,99.9891
987,0,99.9891
988,0,99.9891
989,0,99.9891
990,0,99.9891
991,0,99.9891
992,0,99.9891
993,0,99.9891
994,0,99.9891
995,0,99.9891
996,0,99.9891
997,0,99.9891
998,0,99.9891
999,1,99.9895
1000,0,99.9895
1001,0,99.9895
1002,0,99.9895
1003,0,99.9895
1004,0,99.9895
1005,0,99.9895
1006,0,99.9895
1007,0,99.9895
1008,0,99.9895
1009,2,99.9902
1010,0,99.9902
1011,0,99.9902
1012,0,99.9902
1013,0,99.9902
1014,0,99.9902
1015,1,99.9906
1016,0,99.9906
1017,0,99.9906
1018,0,99.9906
1019,0,99.9906
1020,0,99.9906
1021,0,99.9906
1022,0,99.9906
1023,0,99.9906
1024,0,99.9906
1025,0,99.9906
1026,0,99.9906
1027,0,99.9906
1028,0,99.9906
1029,1,99.991
1030,0,99.991
1031,0,99.991
1032,0,99.991
1033,2,99.9918
1034,0,99.9918
1035,0,99.9918
1036,0,99.9918
1037,0,99.9918
1038,1,99.9922
1039,0,99.9922
1040,0,99.9922
1041,0,99.9922
1042,0,99.9922
1043,0,99.9922
1044,0,99.9922
1045,0,99.9922
1046,0,99.9922
1047,0,99.9922
1048,0,99.9922
1049,0,99.9922
1050,0,99.9922
1051,0,99.9922
1052,0,99.9922
1053,0,99.9922
1054,0,99.9922
1055,0,99.9922
1056,0,99.9922
1057,0,99.9922
1058,0,99.9922
1059,0,99.9922
1060,0,99.9922
1061,0,99.9922
1062,0,99.9922
1063,0,99.9922
1064,0,99.9922
1065,0,99.9922
1066,0,99.9922
1067,0,99.9922
1068,0,99.9922
1069,1,99.9926
1070,1,99.993
1071,0,99.993
1072,1,99.9934
1073,0,99.9934
1074,0,99.9934
1075,1,99.9938
1076,0,99.9938
1077,0,99.9938
1078,0,99.9938
1079,0,99.9938
1080,0,99.9938
1081,0,99.9938
1082,0,99.9938
1083,0,99.9938
1084,0,99.9938
1085,0,99.9938
1086,0,99.9938
1087,0,99.9938
1088,0,99.9938
1089,0,99.9938
1090,0,99.9938
1091,0,99.9938
1092,0,99.9938
1093,0,99.9938
1094,0,99.9938
1095,0,99.9938
1096,0,99.9938
1097,1,99.9941
1098,0,99.9941
1099,0,99.9941
1100,0,99.9941
1101,0,99.9941
1102,0,99.9941
1103,0,99.9941
1104,0,99.9941
1105,0,99.9941
1106,0,99.9941
1107,0,99.9941
1108,0,99.9941
1109,0,99.9941
1110,0,99.9941
1111,0,99.9941
1112,0,99.9941
1113,0,99.9941
1114,0,99.9941
1115,0,99.9941
1116,0,99.9941
1117,0,99.9941
1118,0,99.9941
1119,0,99.9941
1120,0,99.9941
1121,0,99.9941
1122,0,99.9941
1123,0,99.9941
1124,0,99.9941
1125,0,99.9941
1126,0,99.9941
1127,0,99.9941
1128,0,99.9941
1129,0,99.9941
1130,0,99.9941
1131,0,99.9941
1132,0,99.9941
1133,0,99.9941
1134,0,99.9941
1135,0,99.9941
1136,0,99.9941
1137,0,99.9941
1138,0,99.9941
1139,0,99.9941
1140,0,99.9941
1141,0,99.9941
1142,0,99.9941
1143,0,99.9941
1144,0,99.9941
1145,0,99.9941
1146,0,99.9941
1147,0,99.9941
1148,0,99.9941
1149,0,99.9941
1150,0,99.9941
1151,0,99.9941
1152,0,99.9941
1153,0,99.9941
1154,0,99.9941
1155,0,99.9941
1156,1,99.9945
1157,0,99.9945
1158,0,99.9945
1159,0,99.9945
1160,0,99.9945
1161,0,99.9945
1162,0,99.9945
1163,0,99.9945
1164,0,99.9945
1165,0,99.9945
1166,0,99.9945
1167,0,99.9945
1168,0,99.9945
1169,0,99.9945
1170,0,99.9945
1171,0,99.9945
1172,0,99.9945
1173,0,99.9945
1174,0,99.9945
1175,0,99.9945
1176,0,99.9945
1177,0,99.9945
1178,0,99.9945
1179,0,99.9945
1180,0,99.9945
1181,0,99.9945
1182,0,99.9945
1183,0,99.9945
1184,0,99.9945
1185,0,99.9945
1186,0,99.9945
1187,0,99.9945
1188,0,99.9945
1189,0,99.9945
1190,0,99.9945
1191,0,99.9945
1192,0,99.9945
1193,0,99.9945
1194,0,99.9945
1195,0,99.9945
1196,0,99.9945
1197,0,99.9945
1198,0,99.9945
1199,0,99.9945
1200,0,99.9945
1201,0,99.9945
1202,0,99.9945
1203,0,99.9945
1204,0,99.9945
1205,0,99.9945
1206,0,99.9945
1207,0,99.9945
1208,3,99.9957
1209,0,99.9957
1210,0,99.9957
1211,0,99.9957
1212,0,99.9957
1213,0,99.9957
1214,0,99.9957
1215,0,99.9957
1216,0,99.9957
1217,0,99.9957
1218,0,99.9957
1219,0,99.9957
1220,0,99.9957
1221,0,99.9957
1222,0,99.9957
1223,0,99.9957
1224,0,99.9957
1225,0,99.9957
1226,0,99.9957
1227,0,99.9957
1228,0,99.9957
1229,0,99.9957
1230,0,99.9957
1231,0,99.9957
1232,0,99.9957
1233,0,99.9957
1234,0,99.9957
1235,0,99.9957
1236,0,99.9957
1237,0,99.9957
1238,0,99.9957
1239,0,99.9957
1240,0,99.9957
1241,0,99.9957
1242,0,99.9957
1243,0,99.9957
1244,0,99.9957
1245,0,99.9957
1246,0,99.9957
1247,0,99.9957
1248,0,99.9957
1249,0,99.9957
1250,0,99.9957
1251,0,99.9957
1252,0,99.9957
1253,0,99.9957
1254,0,99.9957
1255,0,99.9957
1256,0,99.9957
1257,0,99.9957
1258,0,99.9957
1259,0,99.9957
1260,0,99.9957
1261,0,99.9957
1262,0,99.9957
1263,0,99.9957
1264,0,99.9957
1265,0,99.9957
1266,0,99.9957
1267,1,99.9961
1268,0,99.9961
1269,0,99.9961
1270,0,99.9961
1271,0,99.9961
1272,0,99.9961
1273,0,99.9961
1274,0,99.9961
1275,0,99.9961
1276,0,99.9961
1277,0,99.9961
1278,0,99.9961
1279,0,99.9961
1280,0,99.9961
1281,0,99.9961
1282,0,99.9961
1283,0,99.9961
1284,0,99.9961
1285,0,99.9961
1286,0,99.9961
1287,0,99.9961
